Product_id,date,opening_stock,Units Sold,clossing_stock,restock_quantity,store_id
P0015,03-01-22,203,80,123,0,S005
P0016,03-01-22,0,0,0,614,S005
P0017,03-01-22,82,82,0,130,S005
P0018,03-01-22,239,65,174,0,S005
P0019,03-01-22,123,78,45,0,S005
P0020,03-01-22,101,50,51,73,S005
P0001,04-01-22,132,42,90,0,S001
P0002,04-01-22,159,113,46,102,S001
P0003,04-01-22,0,0,0,0,S001
P0004,04-01-22,242,58,184,0,S001
P0005,04-01-22,0,0,0,0,S001
P0006,04-01-22,0,0,0,0,S001
P0007,04-01-22,0,0,0,0,S001
P0008,04-01-22,109,109,0,141,S001
P0009,04-01-22,161,88,73,115,S001
P0010,04-01-22,0,0,0,0,S001
P0011,04-01-22,356,54,302,0,S001
P0012,04-01-22,447,65,382,0,S001
P0013,04-01-22,136,79,57,147,S001
P0014,04-01-22,479,147,332,368,S001
P0015,04-01-22,118,81,37,74,S001
P0016,04-01-22,372,100,272,0,S001
P0017,04-01-22,121,59,62,0,S001
P0018,04-01-22,167,63,104,117,S001
P0019,04-01-22,137,49,88,0,S001
P0020,04-01-22,52,52,0,424,S001
P0001,04-01-22,331,172,159,0,S002
P0002,04-01-22,141,90,51,0,S002
P0003,04-01-22,596,166,430,0,S002
P0004,04-01-22,339,92,247,0,S002
P0005,04-01-22,0,0,0,0,S002
P0006,04-01-22,172,98,74,0,S002
P0007,04-01-22,226,96,130,0,S002
P0008,04-01-22,182,96,86,0,S002
P0009,04-01-22,389,110,279,262,S002
P0010,04-01-22,130,77,53,99,S002
P0011,04-01-22,191,106,85,0,S002
P0012,04-01-22,0,0,0,0,S002
P0013,04-01-22,331,47,284,0,S002
P0014,04-01-22,0,0,0,0,S002
P0015,04-01-22,0,0,0,0,S002
P0016,04-01-22,470,117,353,0,S002
P0017,04-01-22,196,95,101,0,S002
P0018,04-01-22,181,181,0,206,S002
P0019,04-01-22,0,0,0,0,S002
P0020,04-01-22,132,90,42,255,S002
P0001,04-01-22,76,76,0,0,S003
P0002,04-01-22,236,122,114,0,S003
P0003,04-01-22,197,145,52,182,S003
P0004,04-01-22,518,56,462,0,S003
P0005,04-01-22,106,106,0,680,S003
P0006,04-01-22,120,71,49,125,S003
P0007,04-01-22,0,0,0,670,S003
P0008,04-01-22,307,174,133,357,S003
P0009,04-01-22,168,86,82,0,S003
P0010,04-01-22,178,129,49,157,S003
P0011,04-01-22,617,114,503,0,S003
P0012,04-01-22,224,62,162,0,S003
P0013,04-01-22,0,0,0,0,S003
P0014,04-01-22,128,128,0,688,S003
P0015,04-01-22,0,0,0,0,S003
P0016,04-01-22,289,126,163,233,S003
P0017,04-01-22,63,63,0,498,S003
P0018,04-01-22,125,87,38,486,S003
P0019,04-01-22,139,116,23,83,S003
P0020,04-01-22,0,0,0,0,S003
P0001,04-01-22,0,0,0,0,S004
P0002,04-01-22,245,133,112,357,S004
P0003,04-01-22,407,173,234,0,S004
P0004,04-01-22,258,87,171,0,S004
P0005,04-01-22,150,92,58,172,S004
P0006,04-01-22,347,118,229,0,S004
P0007,04-01-22,0,0,0,0,S004
P0008,04-01-22,108,68,40,63,S004
P0009,04-01-22,299,201,98,0,S004
P0010,04-01-22,0,0,0,0,S004
P0011,04-01-22,0,0,0,0,S004
P0012,04-01-22,163,80,83,0,S004
P0013,04-01-22,385,165,220,0,S004
P0014,04-01-22,246,23,223,0,S004
P0015,04-01-22,68,68,0,300,S004
P0016,04-01-22,218,92,126,0,S004
P0017,04-01-22,263,35,228,0,S004
P0018,04-01-22,133,123,10,96,S004
P0019,04-01-22,80,80,0,89,S004
P0020,04-01-22,111,111,0,329,S004
P0001,04-01-22,126,58,68,0,S005
P0002,04-01-22,474,77,397,0,S005
P0003,04-01-22,166,43,123,0,S005
P0004,04-01-22,150,82,68,93,S005
P0005,04-01-22,218,183,35,268,S005
P0006,04-01-22,0,0,0,0,S005
P0007,04-01-22,163,140,23,274,S005
P0008,04-01-22,123,120,3,193,S005
P0009,04-01-22,330,160,170,482,S005
P0010,04-01-22,436,102,334,0,S005
P0011,04-01-22,79,79,0,374,S005
P0012,04-01-22,0,0,0,0,S005
P0013,04-01-22,328,189,139,0,S005
P0014,04-01-22,219,76,143,0,S005
P0015,04-01-22,315,66,249,0,S005
P0016,04-01-22,191,105,86,0,S005
P0017,04-01-22,130,78,52,122,S005
P0018,04-01-22,174,69,105,0,S005
P0019,04-01-22,158,37,121,0,S005
P0020,04-01-22,124,93,31,108,S005
P0001,05-01-22,319,129,190,0,S001
P0002,05-01-22,148,77,71,85,S001
P0003,05-01-22,612,156,456,0,S001
P0004,05-01-22,184,38,146,0,S001
P0005,05-01-22,271,91,180,0,S001
P0006,05-01-22,172,143,29,0,S001
P0007,05-01-22,335,97,238,0,S001
P0008,05-01-22,141,57,84,0,S001
P0009,05-01-22,188,130,58,167,S001
P0010,05-01-22,300,86,214,0,S001
P0011,05-01-22,302,62,240,0,S001
P0012,05-01-22,382,111,271,0,S001
P0013,05-01-22,204,44,160,0,S001
P0014,05-01-22,332,86,246,0,S001
P0015,05-01-22,111,40,71,0,S001
P0016,05-01-22,272,140,132,0,S001
P0017,05-01-22,62,36,26,52,S001
P0018,05-01-22,221,109,112,119,S001
P0019,05-01-22,88,66,22,50,S001
P0020,05-01-22,0,0,0,0,S001
P0001,05-01-22,509,132,377,371,S002
P0002,05-01-22,217,81,136,139,S002
P0003,05-01-22,430,93,337,0,S002
P0004,05-01-22,247,65,182,210,S002
P0005,05-01-22,334,107,227,0,S002
P0006,05-01-22,74,74,0,115,S002
P0007,05-01-22,130,69,61,0,S002
P0008,05-01-22,86,86,0,140,S002
P0009,05-01-22,279,243,36,521,S002
P0010,05-01-22,152,53,99,0,S002
P0011,05-01-22,559,206,353,568,S002
P0012,05-01-22,413,60,353,0,S002
P0013,05-01-22,284,66,218,0,S002
P0014,05-01-22,289,171,118,0,S002
P0015,05-01-22,457,76,381,0,S002
P0016,05-01-22,353,173,180,264,S002
P0017,05-01-22,424,52,372,0,S002
P0018,05-01-22,206,120,86,0,S002
P0019,05-01-22,391,96,295,0,S002
P0020,05-01-22,256,79,177,0,S002
P0001,05-01-22,316,141,175,409,S003
P0002,05-01-22,662,154,508,0,S003
P0003,05-01-22,234,172,62,226,S003
P0004,05-01-22,462,162,300,398,S003
P0005,05-01-22,212,69,143,0,S003
P0006,05-01-22,174,62,112,0,S003
P0007,05-01-22,552,67,485,0,S003
P0008,05-01-22,133,124,9,0,S003
P0009,05-01-22,82,82,0,209,S003
P0010,05-01-22,206,114,92,166,S003
P0011,05-01-22,503,243,260,0,S003
P0012,05-01-22,468,175,293,0,S003
P0013,05-01-22,743,72,671,0,S003
P0014,05-01-22,0,0,0,0,S003
P0015,05-01-22,500,90,410,0,S003
P0016,05-01-22,163,152,11,404,S003
P0017,05-01-22,380,90,290,0,S003
P0018,05-01-22,354,86,268,0,S003
P0019,05-01-22,106,106,0,317,S003
P0020,05-01-22,270,146,124,0,S003
P0001,05-01-22,287,88,199,0,S004
P0002,05-01-22,112,87,25,0,S004
P0003,05-01-22,234,54,180,0,S004
P0004,05-01-22,171,60,111,0,S004
P0005,05-01-22,230,157,73,0,S004
P0006,05-01-22,229,55,174,0,S004
P0007,05-01-22,253,81,172,0,S004
P0008,05-01-22,103,74,29,96,S004
P0009,05-01-22,592,115,477,0,S004
P0010,05-01-22,597,218,379,784,S004
P0011,05-01-22,293,146,147,0,S004
P0012,05-01-22,83,83,0,131,S004
P0013,05-01-22,721,83,638,0,S004
P0014,05-01-22,223,46,177,0,S004
P0015,05-01-22,200,53,147,0,S004
P0016,05-01-22,126,83,43,0,S004
P0017,05-01-22,228,114,114,188,S004
P0018,05-01-22,106,106,0,119,S004
P0019,05-01-22,89,54,35,96,S004
P0020,05-01-22,204,99,105,0,S004
P0001,05-01-22,258,163,95,339,S005
P0002,05-01-22,397,86,311,0,S005
P0003,05-01-22,123,71,52,104,S005
P0004,05-01-22,161,106,55,117,S005
P0005,05-01-22,35,35,0,0,S005
P0006,05-01-22,300,121,179,0,S005
P0007,05-01-22,159,127,32,0,S005
P0008,05-01-22,196,117,79,0,S005
P0009,05-01-22,170,74,96,0,S005
P0010,05-01-22,963,144,819,0,S005
P0011,05-01-22,0,0,0,0,S005
P0012,05-01-22,371,66,305,0,S005
P0013,05-01-22,458,37,421,0,S005
P0014,05-01-22,143,60,83,0,S005
P0015,05-01-22,249,105,144,194,S005
P0016,05-01-22,295,92,203,0,S005
P0017,05-01-22,174,71,103,0,S005
P0018,05-01-22,105,34,71,0,S005
P0019,05-01-22,121,84,37,176,S005
P0020,05-01-22,139,65,74,118,S005
P0001,06-01-22,190,98,92,308,S001
P0002,06-01-22,156,86,70,103,S001
P0003,06-01-22,456,97,359,442,S001
P0004,06-01-22,146,41,105,115,S001
P0005,06-01-22,667,71,596,0,S001
P0006,06-01-22,310,130,180,440,S001
P0007,06-01-22,735,110,625,0,S001
P0008,06-01-22,84,84,0,108,S001
P0009,06-01-22,225,152,73,151,S001
P0010,06-01-22,712,37,675,0,S001
P0011,06-01-22,240,96,144,197,S001
P0012,06-01-22,271,100,171,0,S001
P0013,06-01-22,160,142,18,181,S001
P0014,06-01-22,246,138,108,0,S001
P0015,06-01-22,71,71,0,91,S001
P0016,06-01-22,685,71,614,0,S001
P0017,06-01-22,78,78,0,138,S001
P0018,06-01-22,231,123,108,0,S001
P0019,06-01-22,72,72,0,69,S001
P0020,06-01-22,432,157,275,0,S001
P0001,06-01-22,377,128,249,0,S002
P0002,06-01-22,136,69,67,214,S002
P0003,06-01-22,337,97,240,0,S002
P0004,06-01-22,182,110,72,0,S002
P0005,06-01-22,639,55,584,0,S002
P0006,06-01-22,115,115,0,148,S002
P0007,06-01-22,361,85,276,0,S002
P0008,06-01-22,140,77,63,0,S002
P0009,06-01-22,298,113,185,0,S002
P0010,06-01-22,99,91,8,140,S002
P0011,06-01-22,353,152,201,0,S002
P0012,06-01-22,864,70,794,0,S002
P0013,06-01-22,218,108,110,544,S002
P0014,06-01-22,682,33,649,0,S002
P0015,06-01-22,985,117,868,0,S002
P0016,06-01-22,180,30,150,0,S002
P0017,06-01-22,372,33,339,0,S002
P0018,06-01-22,86,86,0,87,S002
P0019,06-01-22,734,139,595,0,S002
P0020,06-01-22,177,88,89,0,S002
P0001,06-01-22,175,77,98,0,S003
P0002,06-01-22,508,138,370,477,S003
P0003,06-01-22,288,118,170,0,S003
P0004,06-01-22,300,82,218,0,S003
P0005,06-01-22,143,54,89,0,S003
P0006,06-01-22,112,112,0,143,S003
P0007,06-01-22,485,160,325,0,S003
P0008,06-01-22,366,107,259,0,S003
P0009,06-01-22,209,130,79,0,S003
P0010,06-01-22,258,81,177,0,S003
P0011,06-01-22,260,174,86,295,S003
P0012,06-01-22,293,72,221,0,S003
P0013,06-01-22,671,121,550,0,S003
P0014,06-01-22,244,111,133,0,S003
P0015,06-01-22,1032,59,973,0,S003
P0016,06-01-22,244,87,157,0,S003
P0017,06-01-22,290,82,208,0,S003
P0018,06-01-22,268,50,218,0,S003
P0019,06-01-22,317,62,255,0,S003
P0020,06-01-22,124,108,16,0,S003
P0001,06-01-22,933,85,848,0,S004
P0002,06-01-22,382,191,191,334,S004
P0003,06-01-22,554,46,508,0,S004
P0004,06-01-22,340,70,270,304,S004
P0005,06-01-22,73,72,1,94,S004
P0006,06-01-22,174,122,52,232,S004
P0007,06-01-22,735,70,665,0,S004
P0008,06-01-22,125,89,36,85,S004
P0009,06-01-22,477,220,257,506,S004
P0010,06-01-22,379,88,291,0,S004
P0011,06-01-22,835,93,742,0,S004
P0012,06-01-22,131,61,70,0,S004
P0013,06-01-22,638,98,540,0,S004
P0014,06-01-22,177,56,121,0,S004
P0015,06-01-22,147,81,66,0,S004
P0016,06-01-22,408,77,331,0,S004
P0017,06-01-22,302,74,228,0,S004
P0018,06-01-22,119,44,75,67,S004
P0019,06-01-22,131,80,51,112,S004
P0020,06-01-22,434,37,397,0,S004
P0001,06-01-22,95,95,0,0,S005
P0002,06-01-22,311,84,227,389,S005
P0003,06-01-22,156,111,45,116,S005
P0004,06-01-22,172,162,10,120,S005
P0005,06-01-22,268,82,186,0,S005
P0006,06-01-22,719,198,521,652,S005
P0007,06-01-22,306,130,176,275,S005
P0008,06-01-22,79,79,0,135,S005
P0009,06-01-22,96,87,9,0,S005
P0010,06-01-22,819,80,739,0,S005
P0011,06-01-22,260,100,160,0,S005
P0012,06-01-22,744,52,692,0,S005
P0013,06-01-22,421,185,236,514,S005
P0014,06-01-22,402,58,344,0,S005
P0015,06-01-22,144,144,0,333,S005
P0016,06-01-22,817,51,766,0,S005
P0017,06-01-22,103,103,0,116,S005
P0018,06-01-22,71,71,0,127,S005
P0019,06-01-22,37,37,0,130,S005
P0020,06-01-22,192,105,87,0,S005
P0001,07-01-22,92,92,0,0,S001
P0002,07-01-22,173,96,77,0,S001
P0003,07-01-22,359,51,308,0,S001
P0004,07-01-22,105,65,40,0,S001
P0005,07-01-22,1357,64,1293,0,S001
P0006,07-01-22,180,85,95,0,S001
P0007,07-01-22,625,87,538,0,S001
P0008,07-01-22,108,108,0,110,S001
P0009,07-01-22,224,94,130,0,S001
P0010,07-01-22,675,36,639,0,S001
P0011,07-01-22,144,59,85,0,S001
P0012,07-01-22,171,56,115,131,S001
P0013,07-01-22,199,44,155,0,S001
P0014,07-01-22,476,109,367,0,S001
P0015,07-01-22,91,91,0,95,S001
P0016,07-01-22,614,148,466,0,S001
P0017,07-01-22,138,79,59,118,S001
P0018,07-01-22,108,108,0,134,S001
P0019,07-01-22,69,55,14,55,S001
P0020,07-01-22,275,111,164,0,S001
P0001,07-01-22,249,96,153,0,S002
P0002,07-01-22,206,57,149,0,S002
P0003,07-01-22,240,72,168,244,S002
P0004,07-01-22,72,69,3,250,S002
P0005,07-01-22,584,112,472,0,S002
P0006,07-01-22,148,148,0,134,S002
P0007,07-01-22,276,200,76,492,S002
P0008,07-01-22,63,63,0,102,S002
P0009,07-01-22,706,132,574,0,S002
P0010,07-01-22,148,110,38,120,S002
P0011,07-01-22,201,185,16,0,S002
P0012,07-01-22,794,129,665,0,S002
P0013,07-01-22,110,92,18,0,S002
P0014,07-01-22,649,98,551,708,S002
P0015,07-01-22,868,135,733,0,S002
P0016,07-01-22,414,93,321,0,S002
P0017,07-01-22,339,144,195,442,S002
P0018,07-01-22,87,87,0,140,S002
P0019,07-01-22,595,141,454,770,S002
P0020,07-01-22,344,150,194,498,S002
P0001,07-01-22,507,54,453,0,S003
P0002,07-01-22,370,146,224,0,S003
P0003,07-01-22,170,168,2,198,S003
P0004,07-01-22,218,143,75,0,S003
P0005,07-01-22,89,89,0,0,S003
P0006,07-01-22,143,86,57,91,S003
P0007,07-01-22,325,204,121,0,S003
P0008,07-01-22,259,90,169,200,S003
P0009,07-01-22,79,79,0,202,S003
P0010,07-01-22,177,106,71,159,S003
P0011,07-01-22,86,61,25,0,S003
P0012,07-01-22,221,58,163,0,S003
P0013,07-01-22,1231,115,1116,0,S003
P0014,07-01-22,821,266,555,0,S003
P0015,07-01-22,973,39,934,0,S003
P0016,07-01-22,561,148,413,0,S003
P0017,07-01-22,208,41,167,0,S003
P0018,07-01-22,218,44,174,0,S003
P0019,07-01-22,255,195,60,0,S003
P0020,07-01-22,769,169,600,891,S003
P0001,07-01-22,848,99,749,0,S004
P0002,07-01-22,191,84,107,0,S004
