product_id,product_name,Category,sku,unit,reorder_level
P0015,Clothing,Clothing,,181,127
P0016,Groceries,Groceries,,94,24
P0017,Electronics,Electronics,,46,75
P0018,Groceries,Groceries,,8,27
P0019,Groceries,Groceries,,172,125
P0020,Clothing,Clothing,,68,37
P0001,Toys,Toys,,77,60
P0002,Clothing,Clothing,,298,107
P0003,Electronics,Electronics,,64,26
P0004,Furniture,Furniture,,300,174
P0005,Clothing,Clothing,,21,47
P0006,Groceries,Groceries,,176,163
P0007,Clothing,Clothing,,131,140
P0008,Toys,Toys,,317,197
P0009,Groceries,Groceries,,97,27
P0010,Clothing,Clothing,,8,141
P0011,Groceries,Groceries,,104,128
P0012,Electronics,Electronics,,87,188
P0013,Furniture,Furniture,,238,95
P0014,Electronics,Electronics,,171,43
P0015,Furniture,Furniture,,250,119
P0016,Clothing,Clothing,,11,32
P0017,Electronics,Electronics,,371,98
P0018,Furniture,Furniture,,107,66
P0019,Groceries,Groceries,,106,124
P0020,Electronics,Electronics,,101,52
P0001,Groceries,Groceries,,81,104
P0002,Clothing,Clothing,,163,79
P0003,Clothing,Clothing,,464,163
P0004,Groceries,Groceries,,116,107
P0005,Electronics,Electronics,,200,40
P0006,Furniture,Furniture,,58,32
P0007,Electronics,Electronics,,56,149
P0008,Clothing,Clothing,,74,121
P0009,Toys,Toys,,54,182
P0010,Clothing,Clothing,,39,163
P0011,Furniture,Furniture,,12,173
P0012,Furniture,Furniture,,56,187
P0013,Toys,Toys,,31,124
P0014,Electronics,Electronics,,25,20
P0015,Electronics,Electronics,,198,67
P0016,Electronics,Electronics,,77,147
P0017,Furniture,Furniture,,165,105
P0018,Toys,Toys,,42,168
P0019,Furniture,Furniture,,8,67
P0020,Electronics,Electronics,,174,168
P0001,Electronics,Electronics,,343,141
P0002,Furniture,Furniture,,71,60
P0003,Groceries,Groceries,,157,31
P0004,Groceries,Groceries,,88,109
P0005,Groceries,Groceries,,64,128
P0006,Groceries,Groceries,,273,154
P0007,Groceries,Groceries,,247,148
P0008,Electronics,Electronics,,42,187
P0009,Electronics,Electronics,,197,157
P0010,Groceries,Groceries,,374,65
P0011,Furniture,Furniture,,154,22
P0012,Toys,Toys,,236,30
P0013,Toys,Toys,,278,92
P0014,Furniture,Furniture,,27,134
P0015,Toys,Toys,,106,191
P0016,Toys,Toys,,154,70
P0017,Clothing,Clothing,,176,38
P0018,Groceries,Groceries,,124,46
P0019,Toys,Toys,,479,132
P0020,Clothing,Clothing,,78,42
P0001,Toys,Toys,,114,40
P0002,Groceries,Groceries,,2,140
P0003,Toys,Toys,,7,187
P0004,Furniture,Furniture,,54,154
P0005,Furniture,Furniture,,282,61
P0006,Groceries,Groceries,,93,33
P0007,Electronics,Electronics,,85,40
P0008,Clothing,Clothing,,136,50
P0009,Electronics,Electronics,,140,196
P0010,Furniture,Furniture,,79,155
P0011,Furniture,Furniture,,106,111
P0012,Groceries,Groceries,,1,142
P0013,Electronics,Electronics,,203,53
P0014,Toys,Toys,,368,71
P0015,Electronics,Electronics,,286,159
P0016,Clothing,Clothing,,69,173
P0017,Toys,Toys,,52,78
P0018,Toys,Toys,,109,83
P0019,Furniture,Furniture,,50,135
P0020,Electronics,Electronics,,0,92
P0001,Electronics,Electronics,,22,45
P0002,Electronics,Electronics,,45,156
P0003,Clothing,Clothing,,89,122
P0004,Groceries,Groceries,,209,128
P0005,Toys,Toys,,4,76
P0006,Toys,Toys,,47,138
P0007,Furniture,Furniture,,115,95
P0008,Toys,Toys,,27,119
P0009,Furniture,Furniture,,90,28
P0010,Groceries,Groceries,,206,67
P0011,Toys,Toys,,328,144
P0012,Groceries,Groceries,,155,24
P0013,Clothing,Clothing,,184,161
P0014,Electronics,Electronics,,16,166
P0015,Toys,Toys,,90,79
P0016,Clothing,Clothing,,178,111
P0017,Electronics,Electronics,,256,150
P0018,Furniture,Furniture,,27,62
P0019,Groceries,Groceries,,67,83
P0020,Electronics,Electronics,,84,112
P0001,Groceries,Groceries,,67,53
P0002,Furniture,Furniture,,15,114
P0003,Toys,Toys,,333,35
P0004,Groceries,Groceries,,56,38
P0005,Furniture,Furniture,,165,194
P0006,Clothing,Clothing,,54,175
P0007,Clothing,Clothing,,93,148
P0008,Furniture,Furniture,,250,57
P0009,Electronics,Electronics,,90,76
P0010,Furniture,Furniture,,83,77
P0011,Electronics,Electronics,,16,149
P0012,Toys,Toys,,87,121
P0013,Furniture,Furniture,,241,136
P0014,Toys,Toys,,286,116
P0015,Clothing,Clothing,,60,83
P0016,Groceries,Groceries,,437,106
P0017,Toys,Toys,,377,76
P0018,Clothing,Clothing,,83,113
P0019,Clothing,Clothing,,203,152
P0020,Clothing,Clothing,,183,189
P0001,Electronics,Electronics,,5,189
P0002,Clothing,Clothing,,199,70
P0003,Toys,Toys,,176,124
P0004,Electronics,Electronics,,214,51
P0005,Groceries,Groceries,,165,56
P0006,Furniture,Furniture,,9,40
P0007,Clothing,Clothing,,140,70
P0008,Groceries,Groceries,,177,150
P0009,Groceries,Groceries,,217,55
P0010,Electronics,Electronics,,47,155
P0011,Groceries,Groceries,,3,98
P0012,Clothing,Clothing,,2,62
P0013,Clothing,Clothing,,18,120
P0014,Toys,Toys,,242,145
P0015,Toys,Toys,,228,157
P0016,Clothing,Clothing,,31,160
P0017,Clothing,Clothing,,16,197
P0018,Furniture,Furniture,,20,147
P0019,Furniture,Furniture,,193,171
P0020,Toys,Toys,,118,162
P0001,Toys,Toys,,96,171
P0002,Electronics,Electronics,,48,47
P0003,Furniture,Furniture,,130,166
P0004,Groceries,Groceries,,11,48
P0005,Groceries,Groceries,,313,194
P0006,Furniture,Furniture,,352,199
P0007,Toys,Toys,,265,108
P0008,Furniture,Furniture,,11,137
P0009,Groceries,Groceries,,191,29
P0010,Electronics,Electronics,,185,150
P0011,Clothing,Clothing,,143,66
P0012,Electronics,Electronics,,85,84
P0013,Groceries,Groceries,,270,164
P0014,Groceries,Groceries,,233,143
P0015,Furniture,Furniture,,187,57
P0016,Electronics,Electronics,,39,147
P0017,Toys,Toys,,234,195
P0018,Clothing,Clothing,,213,106
P0019,Clothing,Clothing,,55,163
P0020,Groceries,Groceries,,22,178
P0001,Clothing,Clothing,,100,185
P0002,Groceries,Groceries,,353,74
P0003,Electronics,Electronics,,255,118
P0004,Clothing,Clothing,,154,189
P0005,Clothing,Clothing,,147,29
P0006,Electronics,Electronics,,342,112
P0007,Furniture,Furniture,,54,126
P0008,Toys,Toys,,289,112
P0009,Toys,Toys,,179,135
P0010,Furniture,Furniture,,175,75
P0011,Clothing,Clothing,,209,86
P0012,Toys,Toys,,109,46
P0013,Groceries,Groceries,,43,78
P0014,Toys,Toys,,58,38
P0015,Electronics,Electronics,,399,86
P0016,Clothing,Clothing,,95,145
P0017,Clothing,Clothing,,296,138
P0018,Electronics,Electronics,,105,66
P0019,Clothing,Clothing,,103,47
P0020,Toys,Toys,,131,103
P0001,Groceries,Groceries,,66,140
P0002,Groceries,Groceries,,163,161
P0003,Clothing,Clothing,,98,176
P0004,Groceries,Groceries,,150,20
P0005,Furniture,Furniture,,15,60
P0006,Electronics,Electronics,,36,75
P0007,Electronics,Electronics,,303,153
P0008,Electronics,Electronics,,209,35
P0009,Electronics,Electronics,,69,65
P0010,Electronics,Electronics,,143,183
P0011,Clothing,Clothing,,239,44
P0012,Groceries,Groceries,,192,115
P0013,Clothing,Clothing,,23,92
P0014,Groceries,Groceries,,165,34
P0015,Groceries,Groceries,,85,73
P0016,Groceries,Groceries,,79,130
P0017,Toys,Toys,,33,29
P0018,Electronics,Electronics,,270,108
P0019,Toys,Toys,,1,47
P0020,Clothing,Clothing,,149,134
P0001,Groceries,Groceries,,3,145
P0002,Electronics,Electronics,,59,111
P0003,Groceries,Groceries,,15,101
P0004,Groceries,Groceries,,351,132
P0005,Groceries,Groceries,,66,57
P0006,Groceries,Groceries,,62,58
P0007,Clothing,Clothing,,77,44
P0008,Electronics,Electronics,,177,154
P0009,Electronics,Electronics,,349,98
P0010,Groceries,Groceries,,74,25
P0011,Groceries,Groceries,,40,151
P0012,Toys,Toys,,72,27
P0013,Toys,Toys,,190,126
P0014,Toys,Toys,,263,189
P0015,Toys,Toys,,126,175
P0016,Clothing,Clothing,,17,171
P0017,Toys,Toys,,19,116
P0018,Toys,Toys,,36,53
P0019,Toys,Toys,,207,177
P0020,Toys,Toys,,91,193
P0001,Groceries,Groceries,,58,193
P0002,Electronics,Electronics,,91,142
P0003,Toys,Toys,,70,191
P0004,Electronics,Electronics,,0,123
P0005,Electronics,Electronics,,32,192
P0006,Clothing,Clothing,,8,84
P0007,Groceries,Groceries,,341,39
P0008,Electronics,Electronics,,347,183
P0009,Groceries,Groceries,,15,187
P0010,Toys,Toys,,85,122
P0011,Toys,Toys,,30,33
P0012,Electronics,Electronics,,136,129
P0013,Toys,Toys,,31,174
P0014,Clothing,Clothing,,7,76
P0015,Electronics,Electronics,,377,118
P0016,Groceries,Groceries,,28,32
P0017,Toys,Toys,,348,36
P0018,Groceries,Groceries,,258,66
P0019,Toys,Toys,,41,191
P0020,Electronics,Electronics,,49,139
P0001,Clothing,Clothing,,83,25
P0002,Furniture,Furniture,,60,172
P0003,Toys,Toys,,448,113
P0004,Toys,Toys,,11,21
P0005,Groceries,Groceries,,390,175
P0006,Clothing,Clothing,,81,139
P0007,Electronics,Electronics,,121,118
P0008,Groceries,Groceries,,44,152
P0009,Toys,Toys,,88,31
P0010,Groceries,Groceries,,142,172
P0011,Toys,Toys,,48,69
P0012,Electronics,Electronics,,61,87
P0013,Electronics,Electronics,,140,180
P0014,Toys,Toys,,390,188
P0015,Toys,Toys,,91,197
P0016,Groceries,Groceries,,32,107
P0017,Electronics,Electronics,,60,92
P0018,Clothing,Clothing,,206,63
P0019,Groceries,Groceries,,108,36
P0020,Furniture,Furniture,,349,42
P0001,Furniture,Furniture,,271,147
P0002,Electronics,Electronics,,202,130
P0003,Toys,Toys,,34,91
P0004,Clothing,Clothing,,165,43
P0005,Groceries,Groceries,,2,161
P0006,Electronics,Electronics,,308,113
P0007,Toys,Toys,,76,157
P0008,Toys,Toys,,91,129
P0009,Furniture,Furniture,,113,84
P0010,Electronics,Electronics,,274,102
P0011,Toys,Toys,,116,52
P0012,Electronics,Electronics,,5,37
P0013,Furniture,Furniture,,115,116
P0014,Clothing,Clothing,,79,158
P0015,Electronics,Electronics,,223,53
P0016,Furniture,Furniture,,258,175
P0017,Toys,Toys,,236,26
P0018,Toys,Toys,,309,165
P0019,Groceries,Groceries,,32,160
P0020,Clothing,Clothing,,44,122
P0001,Furniture,Furniture,,145,149
P0002,Groceries,Groceries,,150,162
P0003,Toys,Toys,,40,104
P0004,Toys,Toys,,245,199
P0005,Furniture,Furniture,,241,160
P0006,Groceries,Groceries,,138,175
P0007,Clothing,Clothing,,152,102
P0008,Furniture,Furniture,,12,85
P0009,Furniture,Furniture,,158,35
P0010,Clothing,Clothing,,265,187
P0011,Clothing,Clothing,,240,182
P0012,Toys,Toys,,153,155
P0013,Groceries,Groceries,,68,48
P0014,Furniture,Furniture,,302,42
P0015,Clothing,Clothing,,70,42
P0016,Groceries,Groceries,,92,73
P0017,Clothing,Clothing,,275,160
P0018,Groceries,Groceries,,3,34
P0019,Groceries,Groceries,,307,143
P0020,Groceries,Groceries,,62,27
P0001,Furniture,Furniture,,195,175
P0002,Furniture,Furniture,,33,75
P0003,Toys,Toys,,263,107
P0004,Toys,Toys,,83,94
P0005,Toys,Toys,,78,25
P0006,Clothing,Clothing,,118,75
P0007,Clothing,Clothing,,147,130
P0008,Furniture,Furniture,,216,124
P0009,Groceries,Groceries,,27,43
P0010,Electronics,Electronics,,172,189
P0011,Toys,Toys,,78,192
P0012,Clothing,Clothing,,196,82
P0013,Groceries,Groceries,,75,153
P0014,Toys,Toys,,11,179
P0015,Clothing,Clothing,,144,197
P0016,Electronics,Electronics,,200,180
P0017,Toys,Toys,,256,107
P0018,Groceries,Groceries,,118,168
P0019,Toys,Toys,,244,24
P0020,Furniture,Furniture,,54,139
P0001,Groceries,Groceries,,147,37
P0002,Toys,Toys,,220,165
P0003,Toys,Toys,,97,198
P0004,Electronics,Electronics,,29,73
P0005,Furniture,Furniture,,192,76
P0006,Toys,Toys,,158,139
P0007,Groceries,Groceries,,8,143
P0008,Electronics,Electronics,,42,23
P0009,Furniture,Furniture,,5,185
P0010,Furniture,Furniture,,93,169
P0011,Groceries,Groceries,,44,191
P0012,Electronics,Electronics,,78,91
P0013,Toys,Toys,,57,24
P0014,Toys,Toys,,161,171
P0015,Toys,Toys,,172,139
P0016,Groceries,Groceries,,132,196
P0017,Electronics,Electronics,,46,156
P0018,Groceries,Groceries,,17,200
P0019,Electronics,Electronics,,38,167
P0020,Toys,Toys,,11,26
P0001,Furniture,Furniture,,161,70
P0002,Electronics,Electronics,,101,81
P0003,Electronics,Electronics,,263,91
P0004,Furniture,Furniture,,32,142
P0005,Clothing,Clothing,,209,36
P0006,Groceries,Groceries,,24,176
P0007,Groceries,Groceries,,20,176
P0008,Clothing,Clothing,,148,111
P0009,Toys,Toys,,100,183
P0010,Toys,Toys,,129,55
P0011,Furniture,Furniture,,257,41
P0012,Groceries,Groceries,,262,29
P0013,Toys,Toys,,200,20
P0014,Groceries,Groceries,,56,187
P0015,Clothing,Clothing,,24,28
P0016,Furniture,Furniture,,105,174
P0017,Groceries,Groceries,,294,100
P0018,Groceries,Groceries,,142,63
P0019,Electronics,Electronics,,55,27
P0020,Electronics,Electronics,,24,110
P0001,Electronics,Electronics,,53,55
P0002,Groceries,Groceries,,189,177
P0003,Furniture,Furniture,,146,68
P0004,Furniture,Furniture,,186,77
P0005,Toys,Toys,,77,149
P0006,Furniture,Furniture,,225,135
P0007,Clothing,Clothing,,66,69
P0008,Electronics,Electronics,,35,83
P0009,Electronics,Electronics,,1,64
P0010,Clothing,Clothing,,95,73
P0011,Electronics,Electronics,,255,85
P0012,Toys,Toys,,132,174
P0013,Furniture,Furniture,,234,168
P0014,Furniture,Furniture,,42,86
P0015,Furniture,Furniture,,25,81
P0016,Toys,Toys,,30,195
P0017,Toys,Toys,,28,175
P0018,Groceries,Groceries,,38,74
P0019,Toys,Toys,,149,35
P0020,Groceries,Groceries,,192,70
P0001,Toys,Toys,,198,103
P0002,Electronics,Electronics,,83,49
P0003,Furniture,Furniture,,97,172
P0004,Toys,Toys,,173,97
P0005,Electronics,Electronics,,69,199
P0006,Furniture,Furniture,,256,169
P0007,Electronics,Electronics,,246,124
P0008,Clothing,Clothing,,332,184
P0009,Toys,Toys,,325,97
P0010,Groceries,Groceries,,53,75
P0011,Groceries,Groceries,,17,30
P0012,Toys,Toys,,223,172
P0013,Electronics,Electronics,,95,86
P0014,Toys,Toys,,225,37
P0015,Groceries,Groceries,,216,118
P0016,Electronics,Electronics,,324,27
P0017,Toys,Toys,,75,56
P0018,Electronics,Electronics,,158,176
P0019,Electronics,Electronics,,55,35
P0020,Toys,Toys,,131,42
P0001,Toys,Toys,,74,115
P0002,Toys,Toys,,59,94
P0003,Electronics,Electronics,,150,171
P0004,Groceries,Groceries,,135,192
P0005,Toys,Toys,,79,117
P0006,Groceries,Groceries,,62,125
P0007,Clothing,Clothing,,130,77
P0008,Toys,Toys,,74,116
P0009,Clothing,Clothing,,16,23
P0010,Furniture,Furniture,,342,195
P0011,Electronics,Electronics,,48,155
P0012,Clothing,Clothing,,224,147
P0013,Electronics,Electronics,,64,54
P0014,Toys,Toys,,322,36
P0015,Toys,Toys,,264,75
P0016,Electronics,Electronics,,343,98
P0017,Groceries,Groceries,,15,107
P0018,Toys,Toys,,90,109
P0019,Clothing,Clothing,,143,196
P0020,Groceries,Groceries,,36,107
P0001,Electronics,Electronics,,37,155
P0002,Furniture,Furniture,,230,114
P0003,Toys,Toys,,58,187
P0004,Furniture,Furniture,,305,123
P0005,Groceries,Groceries,,120,195
P0006,Toys,Toys,,2,110
P0007,Electronics,Electronics,,35,49
P0008,Clothing,Clothing,,171,84
P0009,Furniture,Furniture,,195,134
P0010,Clothing,Clothing,,97,143
P0011,Toys,Toys,,177,49
P0012,Groceries,Groceries,,1,88
P0013,Furniture,Furniture,,181,189
P0014,Furniture,Furniture,,100,86
P0015,Furniture,Furniture,,1,37
P0016,Clothing,Clothing,,429,164
P0017,Electronics,Electronics,,26,23
P0018,Electronics,Electronics,,176,90
P0019,Furniture,Furniture,,15,126
P0020,Clothing,Clothing,,2,60
P0001,Furniture,Furniture,,81,82
P0002,Toys,Toys,,23,47
P0003,Clothing,Clothing,,65,197
P0004,Groceries,Groceries,,62,118
P0005,Clothing,Clothing,,76,64
P0006,Toys,Toys,,136,89
P0007,Furniture,Furniture,,255,80
P0008,Groceries,Groceries,,244,123
P0009,Toys,Toys,,173,91
P0010,Toys,Toys,,330,165
P0011,Clothing,Clothing,,95,155
P0012,Groceries,Groceries,,144,198
P0013,Groceries,Groceries,,350,191
P0014,Groceries,Groceries,,240,26
P0015,Furniture,Furniture,,210,185
P0016,Furniture,Furniture,,59,39
P0017,Groceries,Groceries,,57,43
P0018,Clothing,Clothing,,57,198
P0019,Electronics,Electronics,,283,139
P0020,Clothing,Clothing,,203,47
P0001,Furniture,Furniture,,170,89
P0002,Electronics,Electronics,,30,21
P0003,Furniture,Furniture,,180,82
P0004,Toys,Toys,,211,135
P0005,Toys,Toys,,243,182
P0006,Clothing,Clothing,,7,56
P0007,Furniture,Furniture,,9,67
P0008,Furniture,Furniture,,231,175
P0009,Electronics,Electronics,,11,89
P0010,Clothing,Clothing,,18,91
P0011,Clothing,Clothing,,144,183
P0012,Furniture,Furniture,,26,32
P0013,Toys,Toys,,61,82
P0014,Furniture,Furniture,,80,62
P0015,Furniture,Furniture,,476,53
P0016,Groceries,Groceries,,316,183
P0017,Toys,Toys,,162,200
P0018,Furniture,Furniture,,51,61
P0019,Furniture,Furniture,,37,84
P0020,Electronics,Electronics,,63,138
P0001,Groceries,Groceries,,101,69
P0002,Toys,Toys,,105,71
P0003,Furniture,Furniture,,134,119
P0004,Electronics,Electronics,,50,180
P0005,Furniture,Furniture,,220,25
P0006,Clothing,Clothing,,260,190
P0007,Groceries,Groceries,,80,164
P0008,Clothing,Clothing,,167,115
P0009,Furniture,Furniture,,166,104
P0010,Clothing,Clothing,,49,142
P0011,Electronics,Electronics,,26,88
P0012,Clothing,Clothing,,73,199
P0013,Toys,Toys,,257,81
P0014,Groceries,Groceries,,50,136
P0015,Furniture,Furniture,,49,102
P0016,Electronics,Electronics,,24,190
P0017,Electronics,Electronics,,192,122
P0018,Electronics,Electronics,,47,167
P0019,Furniture,Furniture,,325,145
P0020,Furniture,Furniture,,150,118
P0001,Clothing,Clothing,,195,37
P0002,Furniture,Furniture,,35,23
P0003,Clothing,Clothing,,96,139
P0004,Electronics,Electronics,,219,44
P0005,Toys,Toys,,14,87
P0006,Toys,Toys,,14,50
P0007,Groceries,Groceries,,39,187
P0008,Toys,Toys,,162,79
P0009,Toys,Toys,,70,44
P0010,Toys,Toys,,64,176
P0011,Clothing,Clothing,,83,20
P0012,Groceries,Groceries,,171,24
P0013,Furniture,Furniture,,101,146
P0014,Furniture,Furniture,,128,165
P0015,Electronics,Electronics,,7,89
P0016,Clothing,Clothing,,15,186
P0017,Furniture,Furniture,,250,161
P0018,Furniture,Furniture,,192,71
P0019,Toys,Toys,,149,129
P0020,Furniture,Furniture,,7,82
P0001,Furniture,Furniture,,107,106
P0002,Clothing,Clothing,,115,66
P0003,Electronics,Electronics,,32,157
P0004,Furniture,Furniture,,307,183
P0005,Clothing,Clothing,,92,170
P0006,Furniture,Furniture,,23,36
P0007,Clothing,Clothing,,429,25
P0008,Clothing,Clothing,,64,191
P0009,Electronics,Electronics,,242,126
P0010,Groceries,Groceries,,20,139
P0011,Clothing,Clothing,,102,117
P0012,Groceries,Groceries,,118,109
P0013,Toys,Toys,,71,122
P0014,Electronics,Electronics,,115,86
P0015,Electronics,Electronics,,128,165
P0016,Clothing,Clothing,,161,36
P0017,Furniture,Furniture,,66,185
P0018,Toys,Toys,,87,188
P0019,Toys,Toys,,46,29
P0020,Electronics,Electronics,,124,167
P0001,Toys,Toys,,150,68
P0002,Furniture,Furniture,,67,188
P0003,Electronics,Electronics,,72,59
P0004,Groceries,Groceries,,114,124
P0005,Furniture,Furniture,,119,49
P0006,Toys,Toys,,68,41
P0007,Electronics,Electronics,,211,178
P0008,Toys,Toys,,46,129
P0009,Groceries,Groceries,,117,101
P0010,Groceries,Groceries,,116,156
P0011,Clothing,Clothing,,53,143
P0012,Toys,Toys,,137,176
P0013,Furniture,Furniture,,143,124
P0014,Electronics,Electronics,,152,76
P0015,Electronics,Electronics,,39,174
P0016,Furniture,Furniture,,211,128
P0017,Electronics,Electronics,,100,157
P0018,Furniture,Furniture,,73,160
P0019,Groceries,Groceries,,122,148
P0020,Groceries,Groceries,,86,103
P0001,Clothing,Clothing,,39,187
P0002,Furniture,Furniture,,145,148
P0003,Clothing,Clothing,,4,87
P0004,Furniture,Furniture,,8,198
P0005,Toys,Toys,,298,113
P0006,Electronics,Electronics,,175,161
P0007,Groceries,Groceries,,177,169
P0008,Electronics,Electronics,,154,176
P0009,Furniture,Furniture,,24,72
P0010,Furniture,Furniture,,63,35
P0011,Electronics,Electronics,,29,37
P0012,Clothing,Clothing,,52,197
P0013,Groceries,Groceries,,59,158
P0014,Groceries,Groceries,,48,72
P0015,Toys,Toys,,71,71
P0016,Electronics,Electronics,,86,189
P0017,Clothing,Clothing,,12,109
P0018,Electronics,Electronics,,336,35
P0019,Furniture,Furniture,,35,154
P0020,Toys,Toys,,20,98
P0001,Toys,Toys,,13,190
P0002,Toys,Toys,,46,172
P0003,Electronics,Electronics,,49,166
P0004,Groceries,Groceries,,92,157
P0005,Clothing,Clothing,,108,107
P0006,Groceries,Groceries,,343,61
P0007,Groceries,Groceries,,83,194
P0008,Toys,Toys,,72,186
P0009,Clothing,Clothing,,186,97
P0010,Groceries,Groceries,,50,87
P0011,Clothing,Clothing,,80,106
P0012,Clothing,Clothing,,36,133
P0013,Groceries,Groceries,,188,58
P0014,Toys,Toys,,227,75
P0015,Groceries,Groceries,,174,58
P0016,Furniture,Furniture,,139,173
P0017,Furniture,Furniture,,4,84
P0018,Furniture,Furniture,,70,132
P0019,Groceries,Groceries,,12,112
P0020,Toys,Toys,,162,123
P0001,Groceries,Groceries,,97,77
P0002,Electronics,Electronics,,297,38
P0003,Furniture,Furniture,,197,26
P0004,Clothing,Clothing,,32,149
P0005,Toys,Toys,,131,130
P0006,Electronics,Electronics,,284,135
P0007,Toys,Toys,,246,68
P0008,Clothing,Clothing,,139,125
P0009,Furniture,Furniture,,182,122
P0010,Furniture,Furniture,,164,151
P0011,Furniture,Furniture,,438,31
P0012,Groceries,Groceries,,59,35
P0013,Toys,Toys,,88,177
P0014,Electronics,Electronics,,211,134
P0015,Electronics,Electronics,,161,141
P0016,Furniture,Furniture,,111,168
P0017,Groceries,Groceries,,186,65
P0018,Clothing,Clothing,,30,41
P0019,Furniture,Furniture,,33,155
P0020,Groceries,Groceries,,126,28
P0001,Furniture,Furniture,,2,119
P0002,Groceries,Groceries,,33,34
P0003,Electronics,Electronics,,123,90
P0004,Toys,Toys,,79,141
P0005,Groceries,Groceries,,217,177
P0006,Electronics,Electronics,,14,26
P0007,Furniture,Furniture,,172,145
P0008,Toys,Toys,,58,97
P0009,Electronics,Electronics,,162,64
P0010,Furniture,Furniture,,186,45
P0011,Furniture,Furniture,,106,117
P0012,Furniture,Furniture,,229,71
P0013,Electronics,Electronics,,261,66
P0014,Furniture,Furniture,,142,158
P0015,Groceries,Groceries,,255,66
P0016,Electronics,Electronics,,42,99
P0017,Clothing,Clothing,,248,106
P0018,Furniture,Furniture,,58,71
P0019,Furniture,Furniture,,127,69
P0020,Groceries,Groceries,,151,126
P0001,Groceries,Groceries,,341,198
P0002,Toys,Toys,,134,71
P0003,Electronics,Electronics,,64,132
P0004,Groceries,Groceries,,298,93
P0005,Toys,Toys,,107,130
P0006,Groceries,Groceries,,233,149
P0007,Furniture,Furniture,,18,172
P0008,Electronics,Electronics,,278,65
P0009,Groceries,Groceries,,241,113
P0010,Toys,Toys,,23,71
P0011,Electronics,Electronics,,7,79
P0012,Clothing,Clothing,,13,186
P0013,Furniture,Furniture,,91,70
P0014,Clothing,Clothing,,25,85
P0015,Toys,Toys,,117,147
P0016,Clothing,Clothing,,34,24
P0017,Groceries,Groceries,,153,56
P0018,Clothing,Clothing,,351,36
P0019,Toys,Toys,,285,72
P0020,Toys,Toys,,188,67
P0001,Clothing,Clothing,,264,56
P0002,Furniture,Furniture,,50,31
P0003,Electronics,Electronics,,12,44
P0004,Clothing,Clothing,,250,26
P0005,Furniture,Furniture,,271,67
P0006,Clothing,Clothing,,189,163
P0007,Groceries,Groceries,,324,30
P0008,Clothing,Clothing,,454,56
P0009,Electronics,Electronics,,104,21
P0010,Groceries,Groceries,,6,63
P0011,Furniture,Furniture,,480,68
P0012,Furniture,Furniture,,3,46
