date,product,qty,stock,price
2024-07-27,Milk,17,0,18.53
2024-07-28,Milk,19,0,18.42
2024-07-29,Milk,26,0,1.97
2024-07-30,Milk,11,0,3.74
2024-07-31,Milk,14,0,19.92
2024-08-01,Milk,12,0,14.09
2024-08-02,Milk,31,0,18.35
2024-08-03,Milk,14,0,19.19
2024-08-04,Milk,18,0,2.58
2024-08-05,Milk,15,0,7.05
2024-08-06,Milk,23,0,8.07
2024-08-07,Milk,11,0,4.97
2024-08-08,Milk,13,0,5.57
2024-08-09,Milk,9,0,9.34
2024-08-10,Milk,33,0,5.78
2024-08-11,Milk,8,0,3.1
2024-08-12,Milk,33,0,18.42
2024-08-13,Milk,6,0,2.11
2024-08-14,Milk,21,0,3.71
2024-08-15,Milk,28,0,8.52
2024-08-16,Milk,19,0,19.71
2024-08-17,Milk,32,0,7.85
2024-08-18,Milk,15,0,16.67
2024-08-19,Milk,31,0,11.6
2024-08-20,Milk,21,0,10.92
2024-08-21,Milk,16,0,15.12
2024-08-22,Milk,21,0,14.66
2024-08-23,Milk,26,0,15.26
2024-08-24,Milk,9,0,4.5
2024-08-25,Milk,14,0,5.4
2024-08-26,Milk,13,0,17.63
2024-08-27,Milk,14,0,15.26
2024-08-28,Milk,19,0,9.79
2024-08-29,Milk,16,0,16.71
2024-08-30,Milk,27,0,19.38
2024-08-31,Milk,15,0,2.22
2024-09-01,Milk,23,0,9.86
2024-09-02,Milk,30,0,8.7
2024-09-03,Milk,24,0,16.2
2024-09-04,Milk,29,0,18.11
2024-09-05,Milk,21,0,12.36
2024-09-06,Milk,20,0,12.91
2024-09-07,Milk,13,0,14.66
2024-09-08,Milk,20,0,11.18
2024-09-09,Milk,26,0,6.31
2024-09-10,Milk,19,0,10.71
2024-09-11,Milk,27,0,9.46
2024-09-12,Milk,25,0,16.92
2024-09-13,Milk,21,0,7.27
2024-09-14,Milk,16,0,4.58
2024-09-15,Milk,5,0,10.98
2024-09-16,Milk,27,0,9.47
2024-09-17,Milk,5,0,14.1
2024-09-18,Milk,31,0,4.01
2024-09-19,Milk,13,0,17.55
2024-09-20,Milk,33,0,10.55
2024-09-21,Milk,20,0,4.87
2024-09-22,Milk,22,0,16.52
2024-09-23,Milk,9,0,1.12
2024-09-24,Milk,9,0,11.2
2024-09-25,Milk,2,0,17.94
2024-09-26,Milk,24,0,3.01
2024-09-27,Milk,10,0,2.3
2024-09-28,Milk,10,0,9.88
2024-09-29,Milk,20,0,3.56
2024-09-30,Milk,35,0,7.86
2024-10-01,Milk,21,0,19.73
2024-10-02,Milk,13,0,10.96
2024-10-03,Milk,19,0,15.32
2024-10-04,Milk,20,0,10.86
2024-10-05,Milk,17,0,3.38
2024-10-06,Milk,21,0,3.1
2024-10-07,Milk,26,0,15.12
2024-10-08,Milk,23,0,1.09
2024-10-09,Milk,17,0,8.24
2024-10-10,Milk,27,0,2.54
2024-10-11,Milk,13,0,11.5
2024-10-12,Milk,24,0,16.89
2024-10-13,Milk,20,0,5.05
2024-10-14,Milk,12,0,7.19
2024-10-15,Milk,2,0,13.15
2024-10-16,Milk,16,0,9.85
2024-10-17,Milk,32,0,11.38
2024-10-18,Milk,24,0,11.94
2024-10-19,Milk,3,0,7.08
2024-10-20,Milk,28,0,18.04
2024-10-21,Milk,8,0,10.22
2024-10-22,Milk,24,0,6.94
2024-10-23,Milk,15,0,10.01
2024-10-24,Milk,9,0,17.09
2024-10-25,Milk,21,0,18.39
2024-10-26,Milk,27,0,0.6
2024-10-27,Milk,19,0,14.6
2024-10-28,Milk,23,0,16.51
2024-10-29,Milk,22,0,9.79
2024-10-30,Milk,34,0,16.85
2024-10-31,Milk,12,0,14.86
2024-11-01,Milk,25,0,10.83
2024-11-02,Milk,27,0,2.2
2024-11-03,Milk,26,0,10.37
2024-11-04,Milk,18,0,12.08
2024-11-05,Milk,23,0,7.7
2024-11-06,Milk,36,0,11.2
2024-11-07,Milk,4,0,4.43
2024-11-08,Milk,15,0,3.21
2024-11-09,Milk,22,0,0.55
2024-11-10,Milk,19,0,12.32
2024-11-11,Milk,11,0,15.99
2024-11-12,Milk,15,0,18.69
2024-11-13,Milk,32,0,19.82
2024-11-14,Milk,15,0,18.57
2024-11-15,Milk,10,0,14.57
2024-11-16,Milk,24,0,16.09
2024-11-17,Milk,25,0,16.59
2024-11-18,Milk,15,0,12.86
2024-11-19,Milk,14,0,18.2
2024-11-20,Milk,26,0,13.82
2024-11-21,Milk,6,0,9.31
2024-11-22,Milk,24,0,12.67
2024-11-23,Milk,22,0,11.03
2024-11-24,Milk,35,0,7.43
2024-11-25,Milk,7,0,8.13
2024-11-26,Milk,14,0,4.97
2024-11-27,Milk,20,0,11.09
2024-11-28,Milk,5,0,14.75
2024-11-29,Milk,13,0,14.03
2024-11-30,Milk,33,0,11.68
2024-12-01,Milk,19,0,19.96
2024-12-02,Milk,26,0,15.68
2024-12-03,Milk,28,0,3.29
2024-12-04,Milk,25,0,10.13
2024-12-05,Milk,12,0,15.22
2024-12-06,Milk,20,0,7.89
2024-12-07,Milk,12,0,9.41
2024-12-08,Milk,20,0,11.03
2024-12-09,Milk,40,0,9.98
2024-12-10,Milk,31,0,0.74
2024-12-11,Milk,16,0,12.17
2024-12-12,Milk,33,0,12.18
2024-12-13,Milk,24,0,16.62
2024-12-14,Milk,19,0,4.93
2024-12-15,Milk,22,0,8.76
2024-12-16,Milk,26,0,18.28
2024-12-17,Milk,7,0,3.21
2024-12-18,Milk,17,0,14.66
2024-12-19,Milk,16,0,12.06
2024-12-20,Milk,29,0,7.8
2024-12-21,Milk,25,0,1.84
2024-12-22,Milk,17,0,3.73
2024-12-23,Milk,16,0,4.13
2024-12-24,Milk,16,0,6.57
2024-12-25,Milk,27,0,4.93
2024-12-26,Milk,7,0,15.01
2024-12-27,Milk,31,0,4.51
2024-12-28,Milk,23,0,2.73
2024-12-29,Milk,30,0,8.58
2024-12-30,Milk,7,0,18.41
2024-01-01,Bread,0,278,5.34
2024-01-02,Bread,10,268,1.16
2024-01-03,Bread,22,246,6.57
2024-01-04,Bread,14,232,4.79
2024-01-05,Bread,27,205,4.65
2024-01-06,Bread,23,182,9.45
2024-01-07,Bread,20,162,11.37
2024-01-08,Bread,20,142,4.1
2024-01-09,Bread,29,113,6.34
2024-01-10,Bread,13,100,8.82
2024-01-11,Bread,7,93,16.1
2024-01-12,Bread,16,77,12.69
2024-01-13,Bread,3,74,7.87
2024-01-14,Bread,22,52,6.23
2024-01-15,Bread,29,23,14.42
2024-01-16,Bread,39,0,9.88
2024-01-17,Bread,35,0,10.19
2024-01-18,Bread,17,0,7.02
2024-01-19,Bread,21,0,1.97
2024-01-20,Bread,13,0,18.0
2024-01-21,Bread,27,0,10.77
2024-01-22,Bread,29,0,5.45
2024-01-23,Bread,2,0,4.32
2024-01-24,Bread,40,0,7.12
2024-01-25,Bread,21,0,11.6
2024-01-26,Bread,21,0,14.56
2024-01-27,Bread,27,0,16.2
2024-01-28,Bread,20,0,16.23
2024-01-29,Bread,20,0,19.27
2024-01-30,Bread,6,0,2.2
2024-01-31,Bread,12,0,12.85
2024-02-01,Bread,25,0,2.89
2024-02-02,Bread,23,0,17.59
2024-02-03,Bread,30,0,18.26
2024-02-04,Bread,27,0,12.68
2024-02-05,Bread,28,0,7.58
2024-02-06,Bread,15,0,1.17
2024-02-07,Bread,16,0,15.59
2024-02-08,Bread,28,0,7.57
2024-02-09,Bread,17,0,19.5
2024-02-10,Bread,23,0,15.71
2024-02-11,Bread,21,0,19.71
2024-02-12,Bread,12,0,9.69
2024-02-13,Bread,19,0,10.49
2024-02-14,Bread,9,0,14.96
2024-02-15,Bread,13,0,4.75
2024-02-16,Bread,32,0,13.08
2024-02-17,Bread,11,0,18.06
2024-02-18,Bread,18,0,13.98
2024-02-19,Bread,27,0,10.83
2024-02-20,Bread,24,0,16.39
2024-02-21,Bread,13,0,8.4
2024-02-22,Bread,19,0,10.2
2024-02-23,Bread,15,0,3.23
2024-02-24,Bread,22,0,5.64
2024-02-25,Bread,27,0,5.39
2024-02-26,Bread,12,0,12.85
2024-02-27,Bread,42,0,16.84
2024-02-28,Bread,18,0,8.39
2024-02-29,Bread,16,0,7.4
2024-03-01,Bread,31,0,19.19
2024-03-02,Bread,18,0,18.35
2024-03-03,Bread,29,0,14.57
2024-03-04,Bread,24,0,8.23
2024-03-05,Bread,21,0,19.1
2024-03-06,Bread,19,0,5.76
2024-03-07,Bread,11,0,11.03
2024-03-08,Bread,22,0,17.0
2024-03-09,Bread,17,0,19.13
2024-03-10,Bread,22,0,9.75
2024-03-11,Bread,11,0,7.22
2024-03-12,Bread,11,0,14.25
2024-03-13,Bread,5,0,12.17
2024-03-14,Bread,13,0,2.02
2024-03-15,Bread,19,0,0.55
2024-03-16,Bread,17,0,16.24
2024-03-17,Bread,14,0,19.26
2024-03-18,Bread,25,0,10.67
2024-03-19,Bread,28,0,2.19
2024-03-20,Bread,30,0,14.62
2024-03-21,Bread,25,0,12.93
2024-03-22,Bread,30,0,1.51
2024-03-23,Bread,28,0,13.56
2024-03-24,Bread,20,0,19.99
2024-03-25,Bread,15,0,11.34
2024-03-26,Bread,4,0,2.85
2024-03-27,Bread,17,0,14.75
2024-03-28,Bread,18,0,8.72
2024-03-29,Bread,18,0,16.01
2024-03-30,Bread,30,0,13.07
2024-03-31,Bread,0,0,13.18
2024-04-01,Bread,27,0,9.88
2024-04-02,Bread,3,0,17.76
2024-04-03,Bread,0,0,8.39
2024-04-04,Bread,30,0,11.66
2024-04-05,Bread,21,0,13.4
2024-04-06,Bread,31,0,14.89
2024-04-07,Bread,0,0,17.59
2024-04-08,Bread,25,0,8.64
2024-04-09,Bread,22,0,0.5
2024-04-10,Bread,19,0,4.12
2024-04-11,Bread,25,0,1.87
2024-04-12,Bread,18,0,0.68
2024-04-13,Bread,19,0,11.82
2024-04-14,Bread,15,0,5.8
2024-04-15,Bread,13,0,7.06
2024-04-16,Bread,18,0,10.69
2024-04-17,Bread,5,0,17.13
2024-04-18,Bread,17,0,14.45
2024-04-19,Bread,7,0,18.25
2024-04-20,Bread,25,0,1.38
2024-04-21,Bread,18,0,2.93
2024-04-22,Bread,12,0,19.15
2024-04-23,Bread,14,0,11.98
2024-04-24,Bread,26,0,19.66
2024-04-25,Bread,21,0,18.12
2024-04-26,Bread,27,0,19.79
2024-04-27,Bread,19,0,8.33
2024-04-28,Bread,20,0,16.84
2024-04-29,Bread,24,0,2.85
2024-04-30,Bread,15,0,1.42
2024-05-01,Bread,16,0,19.17
2024-05-02,Bread,19,0,16.61
2024-05-03,Bread,24,0,4.72
2024-05-04,Bread,29,0,10.61
2024-05-05,Bread,25,0,5.57
2024-05-06,Bread,39,0,10.55
2024-05-07,Bread,21,0,18.0
2024-05-08,Bread,19,0,9.54
2024-05-09,Bread,31,0,1.18
2024-05-10,Bread,25,0,17.95
2024-05-11,Bread,18,0,8.13
2024-05-12,Bread,29,0,5.82
2024-05-13,Bread,15,0,17.12
2024-05-14,Bread,19,0,1.19
2024-05-15,Bread,24,0,14.84
2024-05-16,Bread,18,0,5.99
2024-05-17,Bread,18,0,10.89
2024-05-18,Bread,20,0,19.26
2024-05-19,Bread,20,0,18.18
2024-05-20,Bread,28,0,11.64
2024-05-21,Bread,24,0,17.36
2024-05-22,Bread,36,0,14.81
2024-05-23,Bread,28,0,5.28
2024-05-24,Bread,20,0,3.57
2024-05-25,Bread,16,0,5.15
2024-05-26,Bread,12,0,18.64
2024-05-27,Bread,22,0,4.19
2024-05-28,Bread,14,0,17.69
2024-05-29,Bread,19,0,17.64
2024-05-30,Bread,24,0,0.6
2024-05-31,Bread,15,0,18.22
2024-06-01,Bread,25,0,0.52
2024-06-02,Bread,32,0,5.54
2024-06-03,Bread,22,0,4.27
2024-06-04,Bread,18,0,11.42
2024-06-05,Bread,15,0,2.76
2024-06-06,Bread,18,0,6.03
2024-06-07,Bread,21,0,0.86
2024-06-08,Bread,29,0,8.15
2024-06-09,Bread,18,0,4.0
2024-06-10,Bread,26,0,3.89
2024-06-11,Bread,25,0,15.53
2024-06-12,Bread,26,0,9.73
2024-06-13,Bread,27,0,1.63
2024-06-14,Bread,36,0,12.09
2024-06-15,Bread,14,0,7.98
2024-06-16,Bread,29,0,5.42
2024-06-17,Bread,16,0,0.52
2024-06-18,Bread,19,0,18.91
2024-06-19,Bread,10,0,2.49
2024-06-20,Bread,20,0,16.61
2024-06-21,Bread,29,0,6.32
2024-06-22,Bread,23,0,4.99
2024-06-23,Bread,24,0,3.06
2024-06-24,Bread,5,0,6.75
2024-06-25,Bread,15,0,14.63
2024-06-26,Bread,13,0,17.43
2024-06-27,Bread,25,0,14.44
2024-06-28,Bread,10,0,11.09
2024-06-29,Bread,40,0,3.61
2024-06-30,Bread,18,0,10.84
2024-07-01,Bread,10,0,0.85
2024-07-02,Bread,14,0,18.28
2024-07-03,Bread,27,0,19.37
2024-07-04,Bread,18,0,0.52
2024-07-05,Bread,9,0,12.17
2024-07-06,Bread,8,0,11.39
2024-07-07,Bread,24,0,4.9
2024-07-08,Bread,23,0,6.86
2024-07-09,Bread,12,0,12.01
2024-07-10,Bread,22,0,3.42
2024-07-11,Bread,19,0,9.56
2024-07-12,Bread,12,0,19.51
2024-07-13,Bread,32,0,14.58
2024-07-14,Bread,29,0,19.08
2024-07-15,Bread,25,0,18.2
2024-07-16,Bread,27,0,3.35
2024-07-17,Bread,26,0,2.5
2024-07-18,Bread,17,0,9.91
2024-07-19,Bread,20,0,4.6
2024-07-20,Bread,29,0,18.85
2024-07-21,Bread,14,0,1.91
2024-07-22,Bread,28,0,2.11
2024-07-23,Bread,20,0,16.58
2024-07-24,Bread,8,0,19.56
2024-07-25,Bread,11,0,4.42
2024-07-26,Bread,27,0,1.3
2024-07-27,Bread,24,0,13.57
2024-07-28,Bread,21,0,12.52
2024-07-29,Bread,27,0,12.45
2024-07-30,Bread,22,0,18.97
2024-07-31,Bread,18,0,12.69
2024-08-01,Bread,24,0,9.95
2024-08-02,Bread,30,0,13.39
2024-08-03,Bread,37,0,15.78
2024-08-04,Bread,29,0,9.88
2024-08-05,Bread,33,0,12.07
2024-08-06,Bread,16,0,13.18
2024-08-07,Bread,38,0,6.92
2024-08-08,Bread,16,0,9.67
2024-08-09,Bread,24,0,8.96
2024-08-10,Bread,23,0,1.35
2024-08-11,Bread,9,0,11.08
2024-08-12,Bread,29,0,10.12
2024-08-13,Bread,18,0,4.8
2024-08-14,Bread,13,0,8.66
2024-08-15,Bread,23,0,3.9
2024-08-16,Bread,16,0,19.24
2024-08-17,Bread,29,0,12.76
2024-08-18,Bread,17,0,14.84
2024-08-19,Bread,20,0,11.09
2024-08-20,Bread,32,0,10.52
2024-08-21,Bread,16,0,8.21
2024-08-22,Bread,20,0,12.32
2024-08-23,Bread,30,0,13.27
2024-08-24,Bread,23,0,19.85
2024-08-25,Bread,12,0,7.99
2024-08-26,Bread,9,0,9.58
2024-08-27,Bread,16,0,15.63
2024-08-28,Bread,24,0,8.4
2024-08-29,Bread,33,0,7.77
2024-08-30,Bread,30,0,10.5
2024-08-31,Bread,14,0,9.02
2024-09-01,Bread,18,0,2.4
2024-09-02,Bread,32,0,11.8
2024-09-03,Bread,6,0,13.42
2024-09-04,Bread,22,0,6.59
2024-09-05,Bread,14,0,8.28
2024-09-06,Bread,33,0,8.23
2024-09-07,Bread,32,0,5.12
2024-09-08,Bread,23,0,9.12
2024-09-09,Bread,17,0,6.95
2024-09-10,Bread,35,0,3.34
2024-09-11,Bread,15,0,9.26
2024-09-12,Bread,24,0,5.42
2024-09-13,Bread,20,0,7.51
2024-09-14,Bread,31,0,7.46
2024-09-15,Bread,7,0,10.9
2024-09-16,Bread,25,0,9.2
2024-09-17,Bread,27,0,17.35
2024-09-18,Bread,32,0,1.17
2024-09-19,Bread,38,0,19.74
2024-09-20,Bread,17,0,1.51
2024-09-21,Bread,16,0,12.98
2024-09-22,Bread,15,0,2.23
2024-09-23,Bread,15,0,2.51
2024-09-24,Bread,33,0,8.25
2024-09-25,Bread,26,0,9.86
2024-09-26,Bread,7,0,10.67
2024-09-27,Bread,24,0,7.18
2024-09-28,Bread,11,0,3.09
2024-09-29,Bread,20,0,3.3
2024-09-30,Bread,20,0,3.67
2024-10-01,Bread,20,0,4.17
2024-10-02,Bread,14,0,5.07
2024-10-03,Bread,23,0,19.29
2024-10-04,Bread,26,0,19.58
2024-10-05,Bread,10,0,7.8
2024-10-06,Bread,21,0,15.49
2024-10-07,Bread,21,0,2.71
2024-10-08,Bread,24,0,16.62
2024-10-09,Bread,21,0,13.51
2024-10-10,Bread,5,0,3.61
2024-10-11,Bread,27,0,12.3
2024-10-12,Bread,26,0,19.87
2024-10-13,Bread,16,0,15.17
2024-10-14,Bread,17,0,2.63
2024-10-15,Bread,15,0,13.18
2024-10-16,Bread,27,0,17.62
2024-10-17,Bread,18,0,6.69
2024-10-18,Bread,17,0,6.29
2024-10-19,Bread,27,0,13.16
2024-10-20,Bread,28,0,12.39
2024-10-21,Bread,8,0,11.49
2024-10-22,Bread,26,0,12.13
2024-10-23,Bread,2,0,11.14
2024-10-24,Bread,17,0,11.95
2024-10-25,Bread,19,0,3.78
2024-10-26,Bread,30,0,10.26
2024-10-27,Bread,25,0,11.08
2024-10-28,Bread,6,0,9.8
2024-10-29,Bread,21,0,8.19
2024-10-30,Bread,32,0,14.45
2024-10-31,Bread,22,0,10.66
2024-11-01,Bread,17,0,17.99
2024-11-02,Bread,30,0,1.89
2024-11-03,Bread,21,0,7.91
2024-11-04,Bread,23,0,4.34
2024-11-05,Bread,8,0,3.74
2024-11-06,Bread,19,0,12.54
2024-11-07,Bread,36,0,18.63
2024-11-08,Bread,22,0,10.88
2024-11-09,Bread,13,0,14.49
2024-11-10,Bread,21,0,8.3
2024-11-11,Bread,11,0,17.26
2024-11-12,Bread,20,0,16.1
2024-11-13,Bread,15,0,15.97
2024-11-14,Bread,12,0,4.11
2024-11-15,Bread,18,0,2.2
2024-11-16,Bread,26,0,16.41
2024-11-17,Bread,23,0,2.69
2024-11-18,Bread,1,0,0.55
2024-11-19,Bread,21,0,12.07
2024-11-20,Bread,38,0,15.98
2024-11-21,Bread,11,0,7.54
2024-11-22,Bread,23,0,18.16
2024-11-23,Bread,22,0,5.49
2024-11-24,Bread,32,0,6.39
2024-11-25,Bread,25,0,13.59
2024-11-26,Bread,23,0,16.29
2024-11-27,Bread,15,0,8.77
2024-11-28,Bread,23,0,3.48
2024-11-29,Bread,24,0,9.72
2024-11-30,Bread,17,0,10.94
2024-12-01,Bread,15,0,4.99
2024-12-02,Bread,12,0,4.52
2024-12-03,Bread,9,0,12.82
2024-12-04,Bread,26,0,1.64
2024-12-05,Bread,16,0,12.14
2024-12-06,Bread,14,0,13.68
2024-12-07,Bread,5,0,14.63
2024-12-08,Bread,4,0,0.81
2024-12-09,Bread,28,0,12.26
2024-12-10,Bread,15,0,7.08
2024-12-11,Bread,21,0,5.67
2024-12-12,Bread,22,0,13.08
2024-12-13,Bread,6,0,7.66
2024-12-14,Bread,32,0,7.2
2024-12-15,Bread,11,0,16.72
2024-12-16,Bread,36,0,13.56
2024-12-17,Bread,21,0,5.79
2024-12-18,Bread,15,0,12.06
2024-12-19,Bread,11,0,9.41
2024-12-20,Bread,25,0,4.21
2024-12-21,Bread,18,0,7.58
2024-12-22,Bread,15,0,19.91
2024-12-23,Bread,4,0,11.82
2024-12-24,Bread,14,0,2.23
2024-12-25,Bread,20,0,15.22
2024-12-26,Bread,23,0,3.82
2024-12-27,Bread,7,0,16.53
2024-12-28,Bread,5,0,0.52
2024-12-29,Bread,1,0,2.84
2024-12-30,Bread,16,0,19.5
2024-01-01,Rice,26,590,5.25
2024-01-02,Rice,26,564,13.6
2024-01-03,Rice,18,546,15.86
2024-01-04,Rice,16,530,17.36
2024-01-05,Rice,21,509,3.61
